Index	Gender	Year	Major	Question Grouping	Questiontext	NumericResponses	TextResponses	QuestionID
1	Female	Graduate program	Business related majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_app
1	Female	Graduate program	Business related majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_notsure
1	Female	Graduate program	Business related majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_seminar
1	Female	Graduate program	Business related majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_sms
1	Female	Graduate program	Business related majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	1	1	Q14_webinar
1	Female	Graduate program	Business related majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_youtube
1	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_bond
1	Female	Graduate program	Business related majors	What kind of financial products you are investing in/interested in?	What kind of financial products you are investing in/interested in?	1	1	Q7_fund
1	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q7_insurance
1	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_no
1	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_others
1	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_saving
1	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_stock
1	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q8_entrance
1	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	zxx	0	0	Q8_management
1	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q8_others
1	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_return
1	Female	Graduate program	Business related majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q8_risk
1	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_ad
1	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_bank
1	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_family
1	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_friends
1	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_newspaper
1	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	0	Q9_others
1	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	1	Q9_social
1	Female	Graduate program	Business related majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	1	Q9_tv
1	Female	Graduate program	Business related majors	Do you have any plans to invest for your retirement?	Do you have any plans to invest for your retirement?	2	No	Question 10
1	Female	Graduate program	Business related majors	Do you look at your investments as an emergency fund?	Do you look at your investments as an emergency fund?	2	No	Question 11
1	Female	Graduate program	Business related majors	Would you like to get educated on how to make financial investments?	Would you like to get educated on how to make financial investments?	1	Yes	Question 13
1	Female	Graduate program	Business related majors	Are you dependent on your guardians for your daily expenses?	Are you dependent on your guardians for your daily expenses?	0	Partially	Question 15
1	Female	Graduate program	Business related majors	Do you currently have a student loan?	Do you currently have a student loan?	2	No	Question 16
1	Female	Graduate program	Business related majors	What is your average monthly income?	What is your average monthly income?	2	$1000 - $ 2000	Question 17
1	Female	Graduate program	Business related majors	What are your expenditures on inessentials each month?	What are your expenditures on inessentials each month?	1	$500 - $1000	Question 18
1	Female	Graduate program	Business related majors	What percentage of your annual income would you invest?	What percentage of your annual income would you invest?	0	<5%	Question 19
1	Female	Graduate program	Business related majors	What is your age?	What is your age?	24	24	Question 2
1	Female	Graduate program	Business related majors	Are you an international student?	Are you an international student?	1	Yes	Question 4
1	Female	Graduate program	Business related majors	Have you ever thought about investing?	Have you ever thought about investing?	0	I already have investments	Question 6
2	Male	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	1	1	Q14_app
2	Male	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_notsure
2	Male	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_seminar
2	Male	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	0	0	Q14_sms
2	Male	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	1	1	Q14_webinar
2	Male	Graduate program	STEM majors	How would you like to get educated on making financial investments?	How would you like to get educated on making financial investments?	1	1	Q14_youtube
2	Male	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_bond
2	Male	Graduate program	STEM majors	What kind of financial products you are investing in/interested in?	What kind of financial products you are investing in/interested in?	0	0	Q7_fund
2	Male	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q7_insurance
2	Male	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_no
2	Male	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_others
2	Male	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q7_saving
2	Male	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q7_stock
2	Male	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_entrance
2	Male	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_management
2	Male	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q8_others
2	Male	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	1	1	Q8_return
2	Male	Graduate program	STEM majors	What factors would you consider before making a financial investment?	What factors would you consider before making a financial investment?	0	0	Q8_risk
2	Male	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_ad
2	Male	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_bank
2	Male	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	0	0	Q9_family
2	Male	Graduate program	STEM majors	Which of the following ways do you often obtain or passively receive information about financial products?	Which of the following ways do you often obtain or passively receive information about financial products?	1	1	Q9_friends
